"V2","V3","V8","V11","V14","V15","V1.1","V4.1","V4.2","V4.3","V5.1","V5.2","V5.3","V6.1","V6.2","V6.3","V6.4","V6.5","V6.6","V6.7","V6.8","V6.9","V6.10","V6.11","V6.12","V6.13","V6.14","V7.1","V7.2","V7.3","V7.4","V7.5","V7.6","V7.7","V7.8","V7.9","V9.1","V10.1","V12.1","V13.1","V13.2","V13.3","target"
0.271111111111111,0,0.043859649122807,0.0149253731343284,0.101,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,"2"
0.713015873015873,0.159285714285714,0.106666666666667,0.0895522388059701,0.0215,0.0056,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,"2"
0.170634920634921,0.0178571428571429,0.0526315789473684,0,0.14,0.00824,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,"2"
0.223492063492063,0.055,0.131578947368421,0.0746268656716418,0.05,3e-05,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"2"
0.101904761904762,0.200892857142857,0.06,0,0.06,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,"2"
0.290952380952381,0.142857142857143,0.087719298245614,0,0.18,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,"2"
0.308253968253968,0.0371428571428571,0.228070175438596,0,0.082,0.31285,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,"2"
0.145555555555556,0.41375,0.00140350877192982,0,0.04,0.01349,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,"2"
0.645555555555556,0.0178571428571429,0.138947368421053,0,0.09,0.00314,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,"2"
0.456349206349206,0.175535714285714,0.111052631578947,0,0.026,0.01442,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,"2"
