"R","F","M","T","target"
0.027027027027027,1,1,1,1
0,0.244897959183673,0.244897959183673,0.270833333333333,1
0.0135135135135135,0.306122448979592,0.306122448979592,0.34375,1
0.027027027027027,0.387755102040816,0.387755102040816,0.447916666666667,1
0.0135135135135135,0.469387755102041,0.469387755102041,0.78125,0
0.0540540540540541,0.0612244897959184,0.0612244897959184,0.0208333333333333,0
0.027027027027027,0.122448979591837,0.122448979591837,0.125,1
0.0135135135135135,0.224489795918367,0.224489795918367,0.34375,0
0.027027027027027,0.163265306122449,0.163265306122449,0.208333333333333,1
0.0675675675675676,0.918367346938776,0.918367346938776,1,1
0.0540540540540541,0.448979591836735,0.448979591836735,0.583333333333333,0
0,0.0408163265306122,0.0408163265306122,0.0208333333333333,0
0.027027027027027,0.183673469387755,0.183673469387755,0.270833333333333,1
0.0135135135135135,0.244897959183673,0.244897959183673,0.46875,0
0.027027027027027,0.102040816326531,0.102040816326531,0.135416666666667,1
0.027027027027027,0.0816326530612245,0.0816326530612245,0.09375,1
0.027027027027027,0.26530612244898,0.26530612244898,0.479166666666667,1
0.027027027027027,0.285714285714286,0.285714285714286,0.489583333333333,1
0.027027027027027,0.102040816326531,0.102040816326531,0.135416666666667,1
0.027027027027027,0.0408163265306122,0.0408163265306122,0.0208333333333333,1
0.027027027027027,0.0408163265306122,0.0408163265306122,0.0208333333333333,1
0.0540540540540541,0.204081632653061,0.204081632653061,0.270833333333333,0
0.027027027027027,0.102040816326531,0.102040816326531,0.145833333333333,1
0.027027027027027,0.102040816326531,0.102040816326531,0.145833333333333,1
0.121621621621622,0.163265306122449,0.163265306122449,0.145833333333333,0
0.0540540540540541,0.26530612244898,0.26530612244898,0.395833333333333,0
0.0540540540540541,0.102040816326531,0.102040816326531,0.125,0
0.0540540540540541,0.224489795918367,0.224489795918367,0.333333333333333,1
0.0540540540540541,0.0816326530612245,0.0816326530612245,0.09375,1
0.0540540540540541,0.142857142857143,0.142857142857143,0.197916666666667,0
0.0135135135135135,0.26530612244898,0.26530612244898,0.583333333333333,0
0.0540540540540541,0.183673469387755,0.183673469387755,0.270833333333333,1
0.0540540540540541,0.183673469387755,0.183673469387755,0.270833333333333,1
0.0540540540540541,0.163265306122449,0.163265306122449,0.25,1
0.027027027027027,0.306122448979592,0.306122448979592,0.645833333333333,0
0.027027027027027,0.142857142857143,0.142857142857143,0.270833333333333,1
0.027027027027027,0.224489795918367,0.224489795918367,0.46875,1
0.0540540540540541,0.102040816326531,0.102040816326531,0.145833333333333,1
0.027027027027027,0.26530612244898,0.26530612244898,0.572916666666667,1
0.0540540540540541,0.122448979591837,0.122448979591837,0.208333333333333,1
0.027027027027027,0.244897959183673,0.244897959183673,0.53125,1
0.027027027027027,0.0816326530612245,0.0816326530612245,0.145833333333333,0
0.027027027027027,0.0816326530612245,0.0816326530612245,0.145833333333333,1
0.027027027027027,0.0816326530612245,0.0816326530612245,0.145833333333333,0
0.0540540540540541,0.387755102040816,0.387755102040816,0.697916666666667,1
0.0540540540540541,0.163265306122449,0.163265306122449,0.270833333333333,1
0.027027027027027,0.163265306122449,0.163265306122449,0.354166666666667,0
0.027027027027027,0.0204081632653061,0.0204081632653061,0,0
0.027027027027027,0.0204081632653061,0.0204081632653061,0,0
0.027027027027027,0.0204081632653061,0.0204081632653061,0,0
0.027027027027027,0.204081632653061,0.204081632653061,0.458333333333333,0
0.027027027027027,0.204081632653061,0.204081632653061,0.458333333333333,1
0.027027027027027,0.102040816326531,0.102040816326531,0.208333333333333,0
0.027027027027027,0.224489795918367,0.224489795918367,0.520833333333333,0
0.0540540540540541,0.0816326530612245,0.0816326530612245,0.125,1
0.0540540540540541,0.36734693877551,0.36734693877551,0.697916666666667,1
0.0540540540540541,0.142857142857143,0.142857142857143,0.25,1
0.027027027027027,0.122448979591837,0.122448979591837,0.270833333333333,1
0.027027027027027,0.306122448979592,0.306122448979592,0.822916666666667,0
0.0405405405405405,0.102040816326531,0.102040816326531,0.197916666666667,0
