"genergy","gpuls","gdenergy","gdpuls","nbumps","nbumps2","nbumps3","nbumps4","nbumps5","energy","maxenergy","seismic.1","seismoacoustic.1","seismoacoustic.2","seismoacoustic.3","shift.1","ghazard.1","ghazard.2","ghazard.3","target"
0.005809943942517,0.0101860053144376,0.0178970917225951,0.0256959314775161,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,"2"
0.0056327175357824,0.00686448184233835,0.0193885160328113,0.0182012847965739,0.111111111111111,0,0.142857142857143,0,0,0.00497512437810945,0.005,1,1,0,0,0,1,0,0,"2"
0.00306293463813065,0.00620017714791851,0.0111856823266219,0.019271948608137,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,"2"
0.0110650921769952,0.037422497785651,0.0544369873228934,0.145610278372591,0.111111111111111,0,0.142857142857143,0,0,0.00746268656716418,0.0075,1,1,0,0,0,1,0,0,"2"
0.00483134595750419,0.0121789193976971,0.0246085011185682,0.0471092077087794,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,"2"
0.0245265935928801,0.0427369353410097,0.017151379567487,0.0331905781584582,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,"2"
0.0800716611122883,0.135518157661647,0.0671140939597315,0.122055674518201,0.222222222222222,0.25,0,0,0,0.00248756218905473,0.00175,1,1,0,0,1,1,0,0,"2"
0.0188360848375104,0.0425155004428698,0.0514541387024608,0.0995717344753747,0.111111111111111,0,0.142857142857143,0,0,0.00995024875621891,0.01,1,1,0,0,0,1,0,0,"2"
0.0385621544566662,0.066651904340124,0.111856823266219,0.158458244111349,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,"2"
0.0953632178151066,0.149025686448184,0.0745712155108128,0.129550321199143,0.111111111111111,0.125,0,0,0,0.00124378109452736,0.00125,1,1,0,0,1,1,0,0,"2"
0.0161237502648764,0.0294508414526129,0.0425055928411633,0.0642398286937901,0.111111111111111,0,0.142857142857143,0,0,0.0124378109452736,0.0125,1,1,0,0,0,1,0,0,"2"
0.0204773554737917,0.0305580159433127,0.0574198359433259,0.069593147751606,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,"2"
0.0639864383271368,0.0987599645704163,0.0492170022371365,0.082441113490364,0.111111111111111,0.125,0,0,0,0.00099502487562189,0.001,1,1,0,0,1,1,0,0,"2"
0.0248271079347345,0.0471656333038087,0.0715883668903803,0.112419700214133,0.111111111111111,0,0.142857142857143,0,0,0.0149253731343284,0.015,1,1,0,0,0,1,0,0,"2"
0.0291152164281174,0.0453941541186891,0.0850111856823266,0.107066381156317,0.111111111111111,0.125,0,0,0,0.00149253731343284,0.0015,1,1,0,0,0,1,0,0,"2"
0.0866637128932211,0.12688219663419,0.0693512304250559,0.10813704496788,0.222222222222222,0,0.285714285714286,0,0,0.0174129353233831,0.015,1,0,1,0,1,1,0,0,"2"
0.0120167209262006,0.0254650132860939,0.0328113348247576,0.0588865096359743,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,"2"
0.00878041262930785,0.0174933569530558,0.0246085011185682,0.0406852248394004,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,"2"
0.00503554160004623,0.012621789193977,0.0141685309470544,0.0310492505353319,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,"2"
0.00339041821579241,0.00797165633303809,0.00969425801640567,0.0203426124197002,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,"2"
0.00506636358382616,0.00664304694419841,0.0186428038777032,0.0182012847965739,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,"2"
0.00447304039606249,0.0150575730735164,0.0178970917225951,0.0524625267665953,0.111111111111111,0,0.142857142857143,0,0,0.00995024875621891,0.01,1,1,0,0,0,1,0,0,"2"
0.00406079636300591,0.0132860938883968,0.0208799403430276,0.056745182012848,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,"2"
0.0175415615187532,0.0338795394154119,0.108128262490679,0.158458244111349,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,"2"
0.163568415172122,0.236271036315323,0.0723340790454884,0.110278372591006,0.222222222222222,0,0.285714285714286,0,0,0.0149253731343284,0.01,1,1,0,0,1,1,0,0,"2"
