"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","target"
0.42682384341637,0.225351103468042,0,0,0,0,0,0.517298187808896,0.0833333333333333,0,0,0.526758869512928,0.375751744046187,0.567802271209085,0.572377000592768,0,0.00847457627118645,0.338028169014084,0,0,0,0.434447300771208,0,0,0,0,0.501344809037117,0.511049723756906,0,0,0.236646580471538,0,0,0,0,0.0809207403891789,0.028453418999541,0,0.238781559848717,0,0,"RB"
0.482651245551601,0.156503773765167,0,0,0,0,0,0.507413509060956,0.0416666666666667,0.0833333333333333,0,0.526758869512928,0.220591772913158,0.310175907370296,0.539300533491405,0.025,0.0903954802259888,0.343661971830986,0,0,0,0.309768637532134,0.00680272108843537,0,0,0,0.653039268423884,0.412062615101289,0,0,0.0642368220909144,0,0,0,0,0.124347413383958,0.114731528223956,0,0.239190432382705,0,0,"RB"
0.429715302491103,0.292263781408235,0,0,0,0,0,0.439868204283361,0.0833333333333333,0.333333333333333,0,0.526758869512928,0.417368294443108,0.575595635715876,0.585180794309425,0,0.146892655367231,0.366197183098591,0,0,0,0.294344473007712,0,0,0,0,0.506724045185584,0.502302025782689,0,0,0.260164979816299,0,0,0,0.142857142857143,0.0959895586141433,0.217989903625516,0,0.274353470305632,0,0,"RB"
0.222419928825623,0.227608197191172,0,0,0,0,0,0.329489291598023,0,0.166666666666667,0,0.526758869512928,0.133750300697618,0.204408817635271,0.286899822169532,0,0.426553672316385,0.408450704225352,0,0,0,0.20694087403599,0,0,0,0,0.22270037654653,1,0,0.117484227240153,0.052009594570877,0,0,0,0.142857142857143,0.0924299952539155,0.810692978430473,0,0.181232750689972,0,0,"RB"
0.497330960854092,0.309365147606764,0,0,0,0,0,0.484349258649094,0.0833333333333333,0.333333333333333,0,0.499599118059731,0.458263170555689,0.613003785348475,0.634736218138708,0.05,0.132768361581921,0.352112676056338,0,0,0,0.352185089974293,0,0,0,0,0.529854760623992,0.505064456721915,0,0.145404471173437,0.30094190604341,0,0,0,0,0.128618889416232,0.215236346948141,0,0.315445159971379,0,0,"RB"
0.497330960854092,0.313449412439094,0,0,0,0,0,0.471169686985173,0.0833333333333333,0.333333333333333,0,0.499198236119463,0.425547269665624,0.561567579603652,0.617545939537641,0.025,0.161016949152543,0.357746478873239,0,0,0,0.329048843187661,0,0,0,0,0.527165142549758,0.502302025782689,0,0.144392766310228,0.251681975077517,0,0,0,0,0.128618889416232,0.249885268471776,0,0.305325564755188,0,0,"RB"
0.667259786476868,0.506795165759052,0.0833333333333333,0,0,0,0,0.182866556836903,0,0.25,0,0.526758869512928,0.319461149867693,0.160765976397239,0.650029638411381,0,0.38135593220339,0.369014084507042,0,0,0,0.336760925449871,0,0,0,0,0.537923614846692,0.711325966850829,0,0.258195511964815,0.0208272392207336,0,0,0,0.142857142857143,0.290104413858567,0.715006883891693,0,0.448328733517326,0,0,"RB"
0.561610320284697,0.361397726187064,0,0,0,0,0,0.520593080724876,0.125,0.166666666666667,0,0.52285027059531,0.450805869617513,0.549543531507459,0.665323058684055,0.125,0.0649717514124294,0.338028169014084,0,0,0,0.406169665809769,0,0,0,0,0.601936525013448,0.505064456721915,0,0.1561819382579,0.201544491897268,0,0,0,0,0.131941148552444,0.155117026158788,0,0.310027598896044,0,0,"RB"
0.577402135231317,0.2715438998758,0,0,0,0,0.111111111111111,0.731466227347611,0.0833333333333333,0,0,0.526758869512928,0.343035843156122,0.194834112669784,0.636158861885003,0,0.0310734463276836,0.261971830985915,0,0,0,0.597686375321337,0.00680272108843537,0,0,0,0.632060247444863,0.524861878453039,0,0,0.0365646755981981,0,0,0,0,0.16124822021832,0.10325837540156,0,0.308903199427578,0,0,"RB"
0.676156583629893,0.335256042801185,0,0,0.0277777777777778,0,0.111111111111111,0.678747940691928,0,0.333333333333333,0.0681818181818182,0.397474443776308,0.466442145778205,0.280115787129815,0.70954356846473,0.2,0.31638418079096,0.295774647887324,0,0.333333333333333,0,0.431876606683805,0.00680272108843537,0,0,0,0.711672942442173,0.50828729281768,0,0.435019039723467,0.0741239103726672,0,0.0833333333333333,0.111111111111111,0.142857142857143,0.192335073564309,0.466498393758605,0.125,0.387304507819687,0,0,"RB"
0.647241992882562,0.231381962357887,0,0,0,0,0.111111111111111,0.871499176276771,0,0.166666666666667,0,0.49649228302265,0.437815732499399,0.140057893564908,0.697806757557795,0.125,0.172316384180791,0.214084507042254,0,0,0,0.534704370179948,0.0204081632653061,0,0,0,0.71705217859064,0.507826887661142,0,0.150589458597384,0.0446381559702802,0,0.0833333333333333,0,0,0.177978168011391,0.237035337310693,0,0.358785648574057,0,0,"RB"
