"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","target"
0.611362288275226,0.397974961344705,0.367332956780051,0.479329980070229,0.461322616354623,0.434019972019876,0.516876650320634,0.616114844830994,0.796996892132556,0.603407310704961,0.470664340307101,0.360685194058457,1
0.622161075594807,0.418953563768766,0.607689008828083,0.490374394989086,0.756913895172547,0.442167977229968,0.513802338740098,0.753310931014034,0.634894367426756,0.635524113039472,0.459567020931925,0.552927168183996,1
0.627196335596125,0.75966881141204,0.703364921969792,0.714287747935845,0.539455648072388,0.789280717834917,0.617787250094304,0.474781083218027,0.342322869015609,0.600559437874366,0.515637597794739,0.823287014853857,2
0.884465827456666,0.710100254376777,0.554594996025271,0.683728765303217,0.412937382682774,0.71002460321289,0.845586571105243,0.543931607036964,0.26416873275832,0.475030717247735,0.662561013825374,0.794786775275515,1
0.53658472286298,0.558596438725123,0.515363373917409,0.558729239821581,0.503816720411994,0.590935404505765,0.550577140701622,0.219000790670093,0.615095855012746,0.675069113807403,0.401440430854539,0.609281264973647,1
0.76209055559217,0.655898049778044,0.585074892263922,0.551701148334441,0.597092939307889,0.601312171354142,0.851874764239909,0.147237596362918,0.606641757167301,0.746279373368146,0.31083987953919,0.69345471969334,1
0.661787385487379,0.632096363908424,0.783382494456299,0.784801176805542,0.769668383308466,0.620618457233827,0.717487740475292,0.184463332674442,0.744774243112058,0.599972354477039,0.496868974967734,0.324638236703402,2
0.763392209846438,0.543627612349743,0.703092966821472,0.68473948941824,0.757226741107956,0.522794153118819,0.776378725009431,0.339152994662977,0.5628033662744,0.33127783750576,0.812791790818847,0.271149976042166,1
0.988153298622553,0.499545663125343,0.0226559558177482,0.164785992217899,0.140963565481061,0.413054175309952,0.942466993587326,0.752139750938921,0.683777979536963,0.672358316694824,0.400611864433786,0.548371346430283,1
0.940275489356093,0.667010823482468,0.166284883477679,0.162394419664041,0.20442797323964,0.581388393072507,0.897710298000755,0.729536469658035,0.738820407165555,0.569582245430809,0.523977968631325,0.362103497843795,1
0.710337441507942,0.4949917701631,0.601318982469353,0.532604156780867,0.635520046204938,0.546601862125525,0.608443606186345,0.438075706661396,0.627545832314838,0.622165565965289,0.467355917079622,0.54993435553426,2
0.822408225136756,0.733303406653698,0.964002552194469,0.947798234791686,0.849694373586177,0.737454773505717,0.806129762353829,0.433707254398102,0.483681949924922,0.44217478113961,0.681256871524403,0.527926689027312,1
