"target","V2","V3","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
1,0.549407114624506,0.475,0,0,0.00950570800213988,6.34887988364439e-05,0.0149068332356004,0.00022441365001257,0.0431190292213487,0.0534846045663258,0.0508100132488217,0.0249415427921577,0.89179104478865,0.178823536948097,0.444022784106089,0.0515463908575376,0.5456349,0.322724203204298
1,0.739130434782609,0.508333333333333,0,0,0.0114068448116931,0.000268893609314902,0.0111801235291849,5.61033785436253e-05,0.046475600587935,0.0607779632153806,0.0515463908575376,0.0272798114643862,0.9179104478865,0.167058828076125,0.436432658926507,0.0559646571725725,0.53858024,0.355796611034498
1,0.411067193675889,0.533333333333333,0,0,0.00950570526449718,0.000108304369466171,0.0186335373519542,0.000376694205018971,0.0426026341627462,0.0551053470429931,0.0478645067903939,0.0249415427921577,0.906716421105758,0.167058828076125,0.447817855234779,0.0500736356401058,0.5326279,0.348891967984383
1,0.130434782608696,0.525,0,0,0.0171102737194411,0.000168058523467952,0.0248447164692723,0.000341963651843399,0.0407952514576375,0.0567260938956734,0.042709868831297,0.0233826958415372,0.930970147756321,0.150588240525952,0.449715389945234,0.0515463908575376,0.57363313,0.386106508929382
1,0.150197628458498,0.416666666666667,0,0,0.0247148315660196,0.000377197962647461,0.0198757754114425,0.000309904397808001,0.0420862391041437,0.0510534850166409,0.0508100132488217,0.024162118966107,0.882462686059674,0.183529417743945,0.445920320524324,0.0522827691289929,0.56291884,0.313666385440622
1,0.0592885375494071,0.4875,0,0,0.0171102668753344,7.8427269273213e-05,0.0149068332356004,0.00022441365001257,0.0387296663432894,0.0502431130489717,0.0441826200722929,0.0218238502938784,0.901119403517626,0.167058828076125,0.453510449119465,0.0471281285189387,0.56150794,0.345557056304498
1,0.0988142292490119,0.233333333333333,0.333333323333334,0,0.0342205337506687,0.000896313207458892,0.0546583874125225,0.00229756735691498,0.139426805249475,0.142625604883514,0.171575852933904,0.102104435631974,0.811567165764229,0.318823526359862,0.29981025199385,0.171575852933904,0.4369392,0.238552137185036
1,0.0513833992094862,0.4125,0,0,0.0589353697653577,0.00539654250642118,0.0596273262343276,0.000737359435178061,0.124967729665925,0.137763380370854,0.142120768467446,0.0943102114010846,0.882462686059674,0.24352941033218,0.349146116894527,0.142120768467446,0.36884832,0.285240517938296
1,0.0395256916996047,0.404166666666667,0,0,0.0456273840376472,0.00080668085819523,0.0310558967046027,0.000686598598575043,0.123160339989476,0.138573745045168,0.139911626362948,0.0904130922708311,0.901119403517626,0.241176471522491,0.333965866535363,0.139911626362948,0.38875645,0.292453004878325
1,0.33201581027668,0.375,0,0,0.0456273806155939,0.00129965129214099,0.0285714250576755,0.000878952932593934,0.148463732717699,0.154781191691906,0.177466869827195,0.111457518738659,0.830223882886361,0.305882362906574,0.301707817444343,0.177466869827195,0.4047922,0.249397652760009
1,0.0671936758893281,0.558333333333333,0,0,0.0133079877809425,1.86731394718501e-05,0.0136645951761121,0.00026983065486198,0.0273689659912925,0.0405186370382385,0.0265095727061151,0.015588464595839,0.91604477815563,0.13411765212872,0.49146111771187,0.0368188492870482,0.6005291,0.415205327889115
1,0.0869565217391304,0.183333333333333,0,0,0.076045609264265,0.00370475399064896,0.0397515396427615,0.000566377174978043,0.163439203359851,0.158022686855937,0.206185558128236,0.123148862099802,0.744402986609629,0.375294121321799,0.277039876455105,0.206185558128236,0.43507022,0.213712527105185
1,0.770750988142292,0.491666666666667,0,0,0.0285171086071794,0.000436952001697256,0.0149068321175881,0.000128236320704011,0.0441518228242238,0.057536468051349,0.0486008843991098,0.0265003883398164,0.912313430298368,0.163529416685121,0.447817855234779,0.0544918979787047,0.54012346,0.354459394201998
